Copies,Nickname,card_background,card_background style,img_pergamena_titolo,img_scudo,valore asta,titolo,img_moneta,miglioria,miglioria style,pesce1,pesce2,pesce2 style,categoria miglioria,valore guadagno,valore guadagno style,pesce3,pesce3 style,pesce4,pesce4 style,img_pergamena_miglioria,img_pergamena guadagno,img_pergamena pesce1,img_pergamena pesce2,img_pergamena pesce3,img_pergamena pesce3 style,img_pergamena pesce4,img_pergamena pesce4 style
1,,27_pirata.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Bacaro del Pirata,moneta.png,M_capitano aste.png,,r_polpo.png,,{display:none},F_bilancia.png,5,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,28_campiello segreto.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Campiello Segreto,moneta.png,M_arte venditore.png,,r_sardina.png,r_gambero.png,{display:block},F_bilancia.png,7,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,29_sbarco_mori.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Lo Sbarco dei Mori,moneta.png,M_diversificazione.png,,r_branzino.png,r_branzino.png,{display:block},F_bilancia.png,9,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,30_ballo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria del Ballo,moneta.png,M_rendita.png,,r_gambero.png,r_branzino.png,{display:block},F_bilancia.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,31_bottega.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Bacaro La Bottega Oscura,moneta.png,M_diversificazione.png,,r_mollusco.png,r_mollusco.png,{display:block},F_bilancia.png,14,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,32_stella_cadente.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Bacaro della Stella Cadente,moneta.png,M_nuovi clienti.png,,r_branzino.png,,{display:none},F_aste.png,3,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,33_famiglia_dolfin.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Famiglia Dolfin,moneta.png,M_banco ampliato.png,,r_gambero.png,,{display:none},F_pescherecci.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,34_sapore.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria del Sapore,moneta.png,M_ecocapitano.png,,r_sardina.png,r_mollusco.png,{display:block},F_aste.png,7,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,35_vecchio_calice.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Trattoria Al Vecio Calice,moneta.png,M_ecocapitano.png,,r_polpo.png,,{display:none},F_aste.png,5,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,36_regina.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Ristorante della Regina,moneta.png,M_ecocapitano.png,,r_sardina.png,r_sardina.png,{display:block},F_aste.png,10,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,37_ponte_diavolo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Al Ponte del Diavolo,moneta.png,M_contrattazione.png,,r_gambero.png,r_branzino.png,{display:block},F_mercato.png,11,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,38_Rialto.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Al Ponte di Rialto,moneta.png,M_fiuto.png,,r_polpo.png,r_branzino.png,{display:block},F_pescherecci.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,39_pansa.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Trattoria alla Pansa,moneta.png,M_ecocapitano.png,,r_gambero.png,r_gambero.png,{display:block},F_aste.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,40_gondolieri.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Ai Gondolieri,moneta.png,M_rendita.png,,r_branzino.png,r_mollusco.png,{display:block},F_bilancia.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,41_pescatore_allegro.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Il Pescatore Allegro,moneta.png,M_contrattazione.png,,r_sardina.png,r_sardina.png,{display:block},F_mercato.png,12,,r_branzino.png,{display:block},r_branzino.png,{display:block},,,,,,{display:block},,{display:block}
1,,42_fiore.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Ristorante Da Fiore,moneta.png,M_contrattazione.png,,r_polpo.png,r_mollusco.png,{display:block},F_mercato.png,14,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,43_Magna e Bevi.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Al Magna e Bevi,moneta.png,M_favorito.png,,r_branzino.png,,{display:none},F_mercato.png,3,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,44_nascosto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Bacaro Nascosto,moneta.png,M_favorito.png,,r_mollusco.png,r_mollusco.png,{display:block},F_mercato.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,45_bilancia.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria della Bilancia,moneta.png,M_banco ampliato.png,,r_gambero.png,r_sardina.png,{display:block},F_pescherecci.png,7,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,46_zattere.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Il Bacaro delle Zattere,moneta.png,M_diversificazione.png,,r_polpo.png,,{display:none},F_bilancia.png,5,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,47_pesce_fritto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Osteria del Pesce Fritto,moneta.png,M_banco ampliato.png,,r_gambero.png,r_branzino.png,{display:block},F_pescherecci.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,48_vedova.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria alla Vedova Nera,moneta.png,M_contrattazione.png,,r_mollusco.png,r_mollusco.png,{display:block},F_mercato.png,14,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,49_leone.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Locanda del Leone,moneta.png,M_amico pescatori.png,,r_branzino.png,r_sardina.png,{display:block},F_bilancia.png,6,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,50_gondola_argento.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Osteria alla Gondola d'Argento,moneta.png,M_banco ampliato.png,,r_gambero.png,r_gambero.png,{display:block},F_pescherecci.png,11,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,51_arco_sconto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,All'Arco Sconto,moneta.png,M_favorito.png,,r_polpo.png,r_sardina.png,{display:block},F_mercato.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,52_ponte_misterioso.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria del Ponte Misterioso,moneta.png,M_ecocapitano.png,,r_gambero.png,,{display:none},F_aste.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,53_antica_sonada.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Bacaro all'Antica Sonada,moneta.png,M_diversificazione.png,,r_branzino.png,r_branzino.png,{display:block},F_bilancia.png,12,,r_mollusco.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,54_cicheto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria del Cicheto,moneta.png,M_fiuto.png,,r_branzino.png,r_mollusco.png,{display:block},F_pescherecci.png,17,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,55_al bucaniere.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Al Bucaniere,moneta.png,M_ecocapitano.png,,r_polpo.png,r_mollusco.png,{display:block},F_aste.png,18,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,56_rigattier.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Al Rigattier,moneta.png,M_capitano aste.png,,r_sardina.png,r_gambero.png,{display:block},F_bilancia.png,11,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,57_porto_antico.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Osteria del Porto Antico,moneta.png,M_fiuto.png,,r_sardina.png,r_sardina.png,{display:block},F_pescherecci.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,58_calle sconta.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Alla Calle Sconta,moneta.png,M_contrattazione.png,,r_polpo.png,r_branzino.png,{display:block},F_mercato.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,59_serenada.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Bacaro della Serenata,moneta.png,M_contrattazione.png,,r_branzino.png,r_branzino.png,{display:block},F_mercato.png,9,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,60_vaporetto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Al Vecio Vaporetto,moneta.png,M_fiuto.png,,r_gambero.png,r_mollusco.png,{display:block},F_pescherecci.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,61_al Balo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Bacaro al Balo,moneta.png,M_arte venditore.png,,r_branzino.png,r_mollusco.png,{display:block},F_bilancia.png,17,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,62_alla perla.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Osteria alla Perla,moneta.png,M_favorito.png,,r_mollusco.png,r_mollusco.png,{display:block},F_mercato.png,13,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,63_turista_perduto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria al Turista Perduto,moneta.png,M_favorito.png,,r_polpo.png,r_sardina.png,{display:block},F_mercato.png,12,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,64_nono_scantabauchi.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Osteria Al Nono Scantabauchi,moneta.png,M_contrattazione.png,,r_gambero.png,r_sardina.png,{display:block},F_mercato.png,10,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,65_Osteria alla Bolla.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Osteria alla Bolla,moneta.png,M_nuovi clienti.png,,r_branzino.png,,{display:none},F_aste.png,3,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,66_briscola.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria alla Briscola,moneta.png,M_fiuto.png,,r_gambero.png,r_mollusco.png,{display:block},F_pescherecci.png,14,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,67_botti.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Bacaro Ai Botti,moneta.png,M_arte venditore.png,,r_polpo.png,,{display:none},F_bilancia.png,5,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,68_rete.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Alla Rete,moneta.png,M_ecocapitano.png,,r_gambero.png,r_gambero.png,{display:block},F_aste.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,69_vapore.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Bacaro Al Vapore,moneta.png,M_banco ampliato.png,,r_mollusco.png,,{display:none},F_pescherecci.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,70_gatto nero.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Bacaro Al Gatto Nero,moneta.png,M_ecocapitano.png,,r_sardina.png,r_branzino.png,{display:block},F_aste.png,12,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,71_frasca.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Ristorante alla Frasca,moneta.png,M_nuovi clienti.png,,r_polpo.png,r_mollusco.png,{display:block},F_aste.png,11,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,72_granchio.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Il Nobile Granchio,moneta.png,M_amico pescatori.png,,r_gambero.png,r_branzino.png,{display:block},F_bilancia.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,73_pasta.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Trattoria Pastasutta,moneta.png,M_ecocapitano.png,,r_polpo.png,r_branzino.png,{display:block},F_aste.png,18,,r_mollusco.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,74_capitano.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Trattoria del Capitano,moneta.png,M_contrattazione.png,,r_polpo.png,r_polpo.png,{display:block},F_mercato.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,75_gondolier.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Ristorante Al Gondoliere,moneta.png,M_arte venditore.png,,r_gambero.png,r_mollusco.png,{display:block},F_bilancia.png,14,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,76_squero.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Osteria dello Squero,moneta.png,M_nuovi clienti.png,,r_branzino.png,,{display:none},F_aste.png,3,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,77_vele.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Locanda Alle Vele,moneta.png,M_rendita.png,,r_gambero.png,r_gambero.png,{display:block},F_bilancia.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,78_risata.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Locanda La Risata,moneta.png,M_banco ampliato.png,,r_polpo.png,r_branzino.png,{display:block},F_pescherecci.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,79_do forni.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,10,Ristorante Do Forni,moneta.png,M_fiuto.png,,r_gambero.png,r_mollusco.png,{display:block},F_pescherecci.png,17,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,80_ninfee.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Osteria Ninfea,moneta.png,M_banco ampliato.png,,r_mollusco.png,,{display:none},F_pescherecci.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,81_tesoro.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Trattoria Al Tesoro,moneta.png,M_favorito.png,,r_sardina.png,r_gambero.png,{display:block},F_mercato.png,14,,r_mollusco.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,82_vin bon.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,10,Trattoria Al Vin Bon,moneta.png,M_contrattazione.png,,r_polpo.png,r_branzino.png,{display:block},F_mercato.png,12,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,83_foscari.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Ristorante Ca' Foscari,moneta.png,M_favorito.png,,r_branzino.png,r_branzino.png,{display:block},F_mercato.png,12,,r_mollusco.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,84_rio.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Trattoria del Rio,moneta.png,M_banco ampliato.png,,r_branzino.png,r_sardina.png,{display:block},F_pescherecci.png,6,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,85_vecio bacan.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,10,Osteria Vecio Bacan,moneta.png,M_banco ampliato.png,,r_mollusco.png,r_mollusco.png,{display:block},F_pescherecci.png,14,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,86_pie del ponte.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Trattoria Ai Pie del Ponte,moneta.png,M_ecocapitano.png,,r_polpo.png,r_mollusco.png,{display:block},F_aste.png,18,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,87_morosini.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Ristorante La Corte dei Morosini,moneta.png,M_ecocapitano.png,,r_sardina.png,r_sardina.png,{display:block},F_aste.png,12,,r_branzino.png,{display:block},r_branzino.png,{display:block},,,,,,{display:block},,{display:block}
1,,88_Botte Bona.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Trattoria Ala Botte Bona,moneta.png,M_nuovi clienti.png,,r_polpo.png,,{display:none},F_aste.png,5,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,89_al tramonto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Ristorante Al Tramonto,moneta.png,M_favorito.png,,r_mollusco.png,r_sardina.png,{display:block},F_mercato.png,7,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,90_gatto rosso.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,7,Trattoria Il Gatto Rosso,moneta.png,M_contrattazione.png,,r_branzino.png,r_branzino.png,{display:block},F_mercato.png,6,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,91_grimani.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,10,Famiglia Contarini,moneta.png,M_fiuto.png,,r_polpo.png,r_mollusco.png,{display:block},F_pescherecci.png,11,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,92_dandolo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,8,Famiglia Dandolo,moneta.png,M_amico pescatori.png,,r_gambero.png,r_branzino.png,{display:block},F_bilancia.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,93_corner.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Famiglia Corner,moneta.png,M_capitano aste.png,,r_polpo.png,r_branzino.png,{display:block},F_bilancia.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,94_zeno.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,10,Famiglia Zeno,moneta.png,M_ecocapitano.png,,r_gambero.png,r_branzino.png,{display:block},F_aste.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,95_querini.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,6,Famiglia Querini,moneta.png,M_banco ampliato.png,,r_mollusco.png,,{display:none},F_pescherecci.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,96_barbarigo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,9,Famiglia Barbarigo,moneta.png,M_nuovi clienti.png,,r_sardina.png,r_gambero.png,{display:block},F_aste.png,14,,r_mollusco.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,97_grimani.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,10,Famiglia Grimani,moneta.png,M_capitano aste.png,,r_polpo.png,r_branzino.png,{display:block},F_bilancia.png,12,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
